,Strain,Culture,Prop,Eu,Total,Rep
0,RSA133,OP50,0.5957446808510638,28,47,1
1,RSA133,OP50,0.6774193548387096,63,93,2
2,RSA133,OP50,0.6504854368932039,67,103,3
3,RSD029,OP50,0.7021276595744681,33,47,1
4,RSD029,OP50,0.5352112676056338,38,71,2
5,RSD029,OP50,0.5714285714285714,40,70,3
6,RSC033,OP50,0.7111111111111111,32,45,1
7,RSC033,OP50,0.8103448275862069,47,58,2
8,RSC033,OP50,0.7407407407407407,40,54,3
9,RSC019,OP50,0.66,33,50,1
10,RSC019,OP50,0.6,30,50,2
11,RSC019,OP50,0.46,23,50,3
12,RS5348,OP50,0.5660377358490566,30,53,1
13,RS5348,OP50,0.5714285714285714,20,35,2
14,RS5348,OP50,0.6,30,50,3
15,RSA645,OP50,0.5135135135135135,57,111,1
16,RSA645,OP50,0.68,34,50,2
17,RSA645,OP50,0.52,26,50,3
18,RSA622,OP50,0.27586206896551724,32,116,1
19,RSA622,OP50,0.6713286713286714,96,143,2
20,RSA622,OP50,0.5333333333333333,16,30,3
